Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
argentina,AR,AR-T,Tucuman,0,0,0
argentina,AR,AR-V,Tierra del Fuego,0,0,0
argentina,AR,AR-D,San Luis,0,0,0
argentina,AR,AR-J,San Juan,0,0,0
argentina,AR,AR-S,Santa Fe,0,0,0
argentina,AR,AR-G,Santiago del Estero,0,0,0
argentina,AR,AR-Z,Santa Cruz,0,0,0
argentina,AR,AR-A,Salta,0,0,0
argentina,AR,AR-R,Rio Negro,0,0,0
argentina,AR,AR-Q,Neuquen,0,0,0
argentina,AR,AR-N,Misiones,0,0,0
argentina,AR,AR-M,Mendoza,0,0,0
argentina,AR,AR-F,La Rioja,0,0,0
argentina,AR,AR-L,La Pampa,0,0,0
argentina,AR,AR-Y,Jujuy,0,0,0
argentina,AR,AR-P,Formosa,0,0,0
argentina,AR,AR-E,Entre Rios,0,0,0
argentina,AR,AR-W,Corrientes,0,0,0
argentina,AR,AR-X,Cordoba,0,0,0
argentina,AR,AR-C,Ciudad de Buenos Aires,0,0,0
argentina,AR,AR-U,Chubut,0,0,0
argentina,AR,AR-H,Chaco,0,0,0
argentina,AR,AR-K,Catamarca,0,0,0
argentina,AR,AR-B,Buenos Aires,0,0,0
