Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
brazil,BR,BR-AC,Acre,0,0,0
brazil,BR,BR-AL,Alagoas,0,0,0
brazil,BR,BR-AM,Amazonas,0,0,0
brazil,BR,BR-AP,Amapa,0,0,0
brazil,BR,BR-BA,Bahia,0,0,0
brazil,BR,BR-CE,Ceara,0,0,0
brazil,BR,BR-DF,Distrito Federal,0,0,0
brazil,BR,BR-ES,Espirito Santo,0,0,0
brazil,BR,BR-GO,Goias,0,0,0
brazil,BR,BR-MA,Maranhao,0,0,0
brazil,BR,BR-MG,Minas Gerais,0,0,0
brazil,BR,BR-MS,Mato Grosso do Sul,0,0,0
brazil,BR,BR-MT,Mato Grosso,0,0,0
brazil,BR,BR-PA,Para,0,0,0
brazil,BR,BR-PB,Paraiba,0,0,0
brazil,BR,BR-PE,Pernambuco,0,0,0
brazil,BR,BR-PI,Piaui,0,0,0
brazil,BR,BR-PR,Parana,0,0,0
brazil,BR,BR-RJ,Rio de Janeiro,0,0,0
brazil,BR,BR-RN,Rio Grande do Norte,0,0,0
brazil,BR,BR-RO,Rondonia,0,0,0
brazil,BR,BR-RR,Roraima,0,0,0
brazil,BR,BR-RS,Rio Grande do Sul,0,0,0
brazil,BR,BR-SC,Santa Catarina,0,0,0
brazil,BR,BR-SE,Sergipe,0,0,0
brazil,BR,BR-SP,Sao Paulo,0,0,0
brazil,BR,BR-TO,Tocantins,0,0,0
