Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
bahamas,BS,BS-IN,Inagua,0,0,0
bahamas,BS,BS-MG,Mayaguana,0,0,0
bahamas,BS,BS-AK,Acklins,0,0,0
bahamas,BS,BS-CK,Crooked Island and Long Cay,0,0,0
bahamas,BS,BS-EX,Exuma,0,0,0
bahamas,BS,BS-LI,Long Island,0,0,0
bahamas,BS,BS-RC,Rum Cay,0,0,0
bahamas,BS,BS-BP,Black Point,0,0,0
bahamas,BS,BS-SS,San Salvador,0,0,0
bahamas,BS,BS-CS,Central Andros,0,0,0
bahamas,BS,BS-MC,Mangrove Cay,0,0,0
bahamas,BS,BS-SA,South Andros,0,0,0
bahamas,BS,BS-CI,Cat Island,0,0,0
bahamas,BS,BS-NP,New Providence,0,0,0
bahamas,BS,BS-NS,North Andros,0,0,0
bahamas,BS,BS-CE,Central Eleuthera,0,0,0
bahamas,BS,BS-NE,North Eleuthera,0,0,0
bahamas,BS,BS-SE,South Eleuthera,0,0,0
bahamas,BS,BS-BY,Berry Islands,0,0,0
bahamas,BS,BS-MI,Moores Island,0,0,0
bahamas,BS,BS-FP,City of Freeport,0,0,0
bahamas,BS,BS-WG,West Grand Bahama,0,0,0
bahamas,BS,BS-EG,East Grand Bahama,0,0,0
bahamas,BS,BS-CO,Central Abaco,0,0,0
bahamas,BS,BS-SO,South Abaco,0,0,0
bahamas,BS,BS-NO,North Abaco,0,0,0
bahamas,BS,BS-BI,Bimini,0,0,0
bahamas,BS,BS-RI,Ragged Island,0,0,0
bahamas,BS,BS-HI,Harbour Island,0,0,0
bahamas,BS,BS-SW,Spanish Wells,0,0,0
bahamas,BS,BS-GC,Grand Cay,0,0,0
bahamas,BS,BS-HT,Hope Town,0,0,0
