Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
greece,GR,GR-A,East Macedonia and Thrace,0,0,0
greece,GR,GR-B,Central Macedonia,0,0,0
greece,GR,GR-C,West Macedonia,0,0,0
greece,GR,GR-D,Epirus,0,0,0
greece,GR,GR-E,Thessaly,0,0,0
greece,GR,GR-F,Ionian Islands,0,0,0
greece,GR,GR-G,Western Greece,0,0,0
greece,GR,GR-H,Central Greece,0,0,0
greece,GR,GR-I,Attica,0,0,0
greece,GR,GR-J,Peloponnese,0,0,0
greece,GR,GR-K,Northern Aegean,0,0,0
greece,GR,GR-L,Southern Aegean,0,0,0
greece,GR,GR-M,Crete,0,0,0
greece,GR,GR-69,Mount Athos,0,0,0
