Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
honduras,HN,HN-AT,Atlantida,0,0,0
honduras,HN,HN-CH,Choluteca,0,0,0
honduras,HN,HN-CL,Colon,0,0,0
honduras,HN,HN-CM,Comayagua,0,0,0
honduras,HN,HN-CP,Copan,0,0,0
honduras,HN,HN-CR,Cortes,0,0,0
honduras,HN,HN-EP,El Paraiso,0,0,0
honduras,HN,HN-FM,Francisco Morazan,0,0,0
honduras,HN,HN-GD,Gracias a Dios,0,0,0
honduras,HN,HN-IN,Intibuca,0,0,0
honduras,HN,HN-IB,Islas de la Bahia,0,0,0
honduras,HN,HN-LP,La Paz,0,0,0
honduras,HN,HN-LM,Lempira,0,0,0
honduras,HN,HN-OC,Ocotepeque,0,0,0
honduras,HN,HN-OL,Olancho,0,0,0
honduras,HN,HN-SB,Santa Barbara,0,0,0
honduras,HN,HN-VA,Valle,0,0,0
honduras,HN,HN-YO,Yoro,0,0,0
