Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
northKorea,KP,KP-14,Nampho,0,0,0
northKorea,KP,KP-01,Phyeongyang,0,0,0
northKorea,KP,KP-02,Phyeongannamto,0,0,0
northKorea,KP,KP-03,Phyeonganpukto,0,0,0
northKorea,KP,KP-04,Jakangto,0,0,0
northKorea,KP,KP-05,Hwanghainamto,0,0,0
northKorea,KP,KP-06,Hwanghaipukto,0,0,0
northKorea,KP,KP-07,Kangweonto,0,0,0
northKorea,KP,KP-08,Hamkyeongnamto,0,0,0
northKorea,KP,KP-09,Hamkyeongpukto,0,0,0
northKorea,KP,KP-10,Ryangkangto,0,0,0
northKorea,KP,KP-13,Raseon,0,0,0
