Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
myanmar,MM,MM-18,Nay Pyi Taw,0,0,0
myanmar,MM,MM-16,Rakhine,0,0,0
myanmar,MM,MM-14,Chin,0,0,0
myanmar,MM,MM-11,Kachin,0,0,0
myanmar,MM,MM-01,Sagaing,0,0,0
myanmar,MM,MM-17,Shan,0,0,0
myanmar,MM,MM-12,Kayah,0,0,0
myanmar,MM,MM-13,Kayin,0,0,0
myanmar,MM,MM-15,Mon,0,0,0
myanmar,MM,MM-05,Tanintharyi,0,0,0
myanmar,MM,MM-07,Ayeyarwady,0,0,0
myanmar,MM,MM-06,Yangon,0,0,0
myanmar,MM,MM-02,Bago,0,0,0
myanmar,MM,MM-03,Magway,0,0,0
myanmar,MM,MM-04,Mandalay,0,0,0
