Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
sudan,SD,SD-NW,An Nil al Abyad,0,0,0
sudan,SD,SD-GD,Al Qadarif,0,0,0
sudan,SD,SD-KH,Al Khartum,0,0,0
sudan,SD,SD-NR,Nahr an Nil,0,0,0
sudan,SD,SD-DC,Wasat Darfur Zalinja,0,0,0
sudan,SD,SD-DE,Sharq Darfur,0,0,0
sudan,SD,SD-DN,Shamal Darfur,0,0,0
sudan,SD,SD-DS,Janub Darfur,0,0,0
sudan,SD,SD-DW,Gharb Darfur,0,0,0
sudan,SD,SD-GK,Gharb Kurdufan,0,0,0
sudan,SD,SD-GZ,Al Jazirah,0,0,0
sudan,SD,SD-KA,Kassala,0,0,0
sudan,SD,SD-KN,Shiamal Kurdufan,0,0,0
sudan,SD,SD-KS,Janub Kurdufan,0,0,0
sudan,SD,SD-NB,An Nil al Azraq,0,0,0
sudan,SD,SD-NO,Ash Shamaliyah,0,0,0
sudan,SD,SD-RS,Al Bahr al Ahmar,0,0,0
sudan,SD,SD-SI,Sinnar,0,0,0
