Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
thailand,TH,TH-S,Phatthaya,0,0,0
thailand,TH,TH-10,Bangkok Metropolis,0,0,0
thailand,TH,TH-11,Samut Prakan,0,0,0
thailand,TH,TH-12,Nonthaburi,0,0,0
thailand,TH,TH-13,Pathum Thani,0,0,0
thailand,TH,TH-14,Phra Nakhon Si Ayutthaya,0,0,0
thailand,TH,TH-15,Ang Thong,0,0,0
thailand,TH,TH-16,Lop Buri,0,0,0
thailand,TH,TH-17,Sing Buri,0,0,0
thailand,TH,TH-18,Chai Nat,0,0,0
thailand,TH,TH-19,Saraburi,0,0,0
thailand,TH,TH-20,Chon Buri,0,0,0
thailand,TH,TH-21,Rayong,0,0,0
thailand,TH,TH-22,Chanthaburi,0,0,0
thailand,TH,TH-23,Trat,0,0,0
thailand,TH,TH-24,Chachoengsao,0,0,0
thailand,TH,TH-25,Prachin Buri,0,0,0
thailand,TH,TH-26,Nakhon Nayok,0,0,0
thailand,TH,TH-27,Sa Kaeo,0,0,0
thailand,TH,TH-30,Nakhon Ratchasima,0,0,0
thailand,TH,TH-31,Buri Ram,0,0,0
thailand,TH,TH-32,Surin,0,0,0
thailand,TH,TH-33,Si Sa Ket,0,0,0
thailand,TH,TH-34,Ubon Ratchathani,0,0,0
thailand,TH,TH-35,Yasothon,0,0,0
thailand,TH,TH-36,Chaiyaphum,0,0,0
thailand,TH,TH-37,Amnat Charoen,0,0,0
thailand,TH,TH-38,Bueng Kan,0,0,0
thailand,TH,TH-39,Nong Bua Lam Phu,0,0,0
thailand,TH,TH-40,Khon Kaen,0,0,0
thailand,TH,TH-41,Udon Thani,0,0,0
thailand,TH,TH-42,Loei,0,0,0
thailand,TH,TH-43,Nong Khai,0,0,0
thailand,TH,TH-44,Maha Sarakham,0,0,0
thailand,TH,TH-45,Roi Et,0,0,0
thailand,TH,TH-46,Kalasin,0,0,0
thailand,TH,TH-47,Sakon Nakhon,0,0,0
thailand,TH,TH-48,Nakhon Phanom,0,0,0
thailand,TH,TH-49,Mukdahan,0,0,0
thailand,TH,TH-50,Chiang Mai,0,0,0
thailand,TH,TH-51,Lamphun,0,0,0
thailand,TH,TH-52,Lampang,0,0,0
thailand,TH,TH-53,Uttaradit,0,0,0
thailand,TH,TH-54,Phrae,0,0,0
thailand,TH,TH-55,Nan,0,0,0
thailand,TH,TH-56,Phayao,0,0,0
thailand,TH,TH-57,Chiang Rai,0,0,0
thailand,TH,TH-58,Mae Hong Son,0,0,0
thailand,TH,TH-60,Nakhon Sawan,0,0,0
thailand,TH,TH-61,Uthai Thani,0,0,0
thailand,TH,TH-62,Kamphaeng Phet,0,0,0
thailand,TH,TH-63,Tak,0,0,0
thailand,TH,TH-64,Sukhothai,0,0,0
thailand,TH,TH-65,Phitsanulok,0,0,0
thailand,TH,TH-66,Phichit,0,0,0
thailand,TH,TH-67,Phetchabun,0,0,0
thailand,TH,TH-70,Ratchaburi,0,0,0
thailand,TH,TH-71,Kanchanaburi,0,0,0
thailand,TH,TH-72,Suphan Buri,0,0,0
thailand,TH,TH-73,Nakhon Pathom,0,0,0
thailand,TH,TH-74,Samut Sakhon,0,0,0
thailand,TH,TH-75,Samut Songkhram,0,0,0
thailand,TH,TH-76,Phetchaburi,0,0,0
thailand,TH,TH-77,Prachuap Khiri Khan,0,0,0
thailand,TH,TH-80,Nakhon Si Thammarat,0,0,0
thailand,TH,TH-81,Krabi,0,0,0
thailand,TH,TH-82,Phangnga,0,0,0
thailand,TH,TH-83,Phuket,0,0,0
thailand,TH,TH-84,Surat Thani,0,0,0
thailand,TH,TH-85,Ranong,0,0,0
thailand,TH,TH-86,Chumphon,0,0,0
thailand,TH,TH-90,Songkhla,0,0,0
thailand,TH,TH-91,Satun,0,0,0
thailand,TH,TH-92,Trang,0,0,0
thailand,TH,TH-93,Phatthalung,0,0,0
thailand,TH,TH-94,Pattani,0,0,0
thailand,TH,TH-95,Yala,0,0,0
thailand,TH,TH-96,Narathiwat,0,0,0
thailand,TH,TH-LK,Songkhla Lake,0,0,0
