Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
venezuela,AW,AW,Aruba,0,0,0
venezuela,BQ,BQ,Bonaire- Saint Eustachius and Saba,0,0,0
venezuela,CW,CW,Curacao,0,0,0
venezuela,VE,VE-A,Distrito Capital,0,0,0
venezuela,VE,VE-B,Anzoategui,0,0,0
venezuela,VE,VE-C,Apure,0,0,0
venezuela,VE,VE-D,Aragua,0,0,0
venezuela,VE,VE-E,Barinas,0,0,0
venezuela,VE,VE-F,Bolivar,0,0,0
venezuela,VE,VE-G,Carabobo,0,0,0
venezuela,VE,VE-H,Cojedes,0,0,0
venezuela,VE,VE-I,Falcon,0,0,0
venezuela,VE,VE-J,Guarico,0,0,0
venezuela,VE,VE-K,Lara,0,0,0
venezuela,VE,VE-L,Merida,0,0,0
venezuela,VE,VE-M,Miranda,0,0,0
venezuela,VE,VE-N,Monagas,0,0,0
venezuela,VE,VE-O,Nueva Esparta,0,0,0
venezuela,VE,VE-P,Portuguesa,0,0,0
venezuela,VE,VE-R,Sucre,0,0,0
venezuela,VE,VE-S,Tachira,0,0,0
venezuela,VE,VE-T,Trujillo,0,0,0
venezuela,VE,VE-U,Yaracuy,0,0,0
venezuela,VE,VE-V,Zulia,0,0,0
venezuela,VE,VE-W,Dependencias Federales,0,0,0
venezuela,VE,VE-X,Vargas,0,0,0
venezuela,VE,VE-Y,Delta Amacuro,0,0,0
venezuela,VE,VE-Z,Amazonas,0,0,0
