Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
sweden,SE,SE-AC,Vasterbotten,0,0,0
sweden,SE,SE-AB,Stockholm,0,0,0
sweden,SE,SE-BD,Norrbotten,0,0,0
sweden,SE,SE-C,Uppsala,0,0,0
sweden,SE,SE-D,Sodermanland,0,0,0
sweden,SE,SE-E,Ostergotland,0,0,0
sweden,SE,SE-F,Jonkoping,0,0,0
sweden,SE,SE-G,Kronoberg,0,0,0
sweden,SE,SE-H,Kalmar,0,0,0
sweden,SE,SE-I,Gotland,0,0,0
sweden,SE,SE-K,Blekinge,0,0,0
sweden,SE,SE-M,Skane,0,0,0
sweden,SE,SE-N,Halland,0,0,0
sweden,SE,SE-O,Vastra Gotaland,0,0,0
sweden,SE,SE-S,Varmland,0,0,0
sweden,SE,SE-T,Orebro,0,0,0
sweden,SE,SE-U,Vastmanland,0,0,0
sweden,SE,SE-W,Dalarna,0,0,0
sweden,SE,SE-X,Gavleborg,0,0,0
sweden,SE,SE-Y,Vasternorrland,0,0,0
sweden,SE,SE-Z,Jamtland,0,0,0
