Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
anguilla,AI,AI-DGI,Dog Island,0,0,0
anguilla,AI,AI-SEI,Seal Island,0,0,0
anguilla,AI,AI-PPE,Prickly Pear East,0,0,0
anguilla,AI,AI-PPW,Prickly Pear West,0,0,0
anguilla,AI,AI-SOI,Sombrero Island,0,0,0
anguilla,AI,AI-IH,Island Harbour,0,0,0
anguilla,AI,AI-SCI,Scrub Island,0,0,0
anguilla,AI,AI-WE,West End,0,0,0
anguilla,AI,AI-BP,Blowing Point,0,0,0
anguilla,AI,AI-SO,South Hill,0,0,0
anguilla,AI,AI-ST,Stoney Ground,0,0,0
anguilla,AI,AI-NS,North Side,0,0,0
anguilla,AI,AI-SG,Sandy Ground,0,0,0
anguilla,AI,AI-NH,North Hill,0,0,0
anguilla,AI,AI-GH,George Hill,0,0,0
anguilla,AI,AI-TV,The Valley,0,0,0
anguilla,AI,AI-TQ,The Quarter,0,0,0
anguilla,AI,AI-TF,The Farrington,0,0,0
anguilla,AI,AI-SH,Sandy Hill,0,0,0
anguilla,AI,AI-EE,East End,0,0,0
