Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
libya,LY,LY-BU,Al Butnan,0,0,0
libya,LY,LY-WA,Al Wahat,0,0,0
libya,LY,LY-WD,Wadi al Hayat,0,0,0
libya,LY,LY-SB,Sabha,0,0,0
libya,LY,LY-JU,Al Jufrah,0,0,0
libya,LY,LY-JG,Al Jabal al Gharbi,0,0,0
libya,LY,LY-JI,Al Jafarah,0,0,0
libya,LY,LY-BA,Banghazi,0,0,0
libya,LY,LY-MJ,Al Marj,0,0,0
libya,LY,LY-JA,Al Jabal al Akhdar,0,0,0
libya,LY,LY-DR,Darnah,0,0,0
libya,LY,LY-ZA,Az Zawiyah,0,0,0
libya,LY,LY-TB,Tarabulus,0,0,0
libya,LY,LY-MB,Al Marqab,0,0,0
libya,LY,LY-MI,Misratah,0,0,0
libya,LY,LY-SR,Surt,0,0,0
libya,LY,LY-GT,Ghat,0,0,0
libya,LY,LY-WS,Wadi ash Shati,0,0,0
libya,LY,LY-MQ,Murzuq,0,0,0
libya,LY,LY-KF,Al Kufrah,0,0,0
libya,LY,LY-NQ,An Nuqat al Khams,0,0,0
libya,LY,LY-NL,Nalut,0,0,0
