Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
centralAfricanRepublic,CF,CF-AC,Ouham,0,0,0
centralAfricanRepublic,CF,CF-BB,Bamingui-Bangoran,0,0,0
centralAfricanRepublic,CF,CF-BGF,Bangui,0,0,0
centralAfricanRepublic,CF,CF-BK,Basse-Kotto,0,0,0
centralAfricanRepublic,CF,CF-HK,Haute-Kotto,0,0,0
centralAfricanRepublic,CF,CF-HM,Haut-Mbomou,0,0,0
centralAfricanRepublic,CF,CF-HS,Haute-Sangha,0,0,0
centralAfricanRepublic,CF,CF-KB,Gribingui,0,0,0
centralAfricanRepublic,CF,CF-KG,Kemo-Gribingui,0,0,0
centralAfricanRepublic,CF,CF-LB,Lobaye,0,0,0
centralAfricanRepublic,CF,CF-MB,Mbomou,0,0,0
centralAfricanRepublic,CF,CF-MP,Ombella-Mpoko,0,0,0
centralAfricanRepublic,CF,CF-NM,Nana-Mambere,0,0,0
centralAfricanRepublic,CF,CF-OP,Ouham-Pende,0,0,0
centralAfricanRepublic,CF,CF-SE,Sangha,0,0,0
centralAfricanRepublic,CF,CF-UK,Ouaka,0,0,0
centralAfricanRepublic,CF,CF-VK,Vakaga,0,0,0
