Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
capeVerde,CV,CV-BR,Brava,0,0,0
capeVerde,CV,CV-BV,Boa Vista,0,0,0
capeVerde,CV,CV-CA,Santa Catarina,0,0,0
capeVerde,CV,CV-CF,Santa Catarina do Fogo,0,0,0
capeVerde,CV,CV-CR,Santa Cruz,0,0,0
capeVerde,CV,CV-MA,Maio,0,0,0
capeVerde,CV,CV-MO,Mosteiros,0,0,0
capeVerde,CV,CV-PA,Paul,0,0,0
capeVerde,CV,CV-PN,Porto Novo,0,0,0
capeVerde,CV,CV-PR,Praia,0,0,0
capeVerde,CV,CV-RB,Ribeira Brava,0,0,0
capeVerde,CV,CV-RG,Ribeira Grande,0,0,0
capeVerde,CV,CV-RD,Ribeira Grande de Santiago,0,0,0
capeVerde,CV,CV-SD,Sao Domingos,0,0,0
capeVerde,CV,CV-SF,Sao Filipe,0,0,0
capeVerde,CV,CV-SL,Sal,0,0,0
capeVerde,CV,CV-SM,Sao Miguel,0,0,0
capeVerde,CV,CV-SO,Sao Lourenco dos Orgaos,0,0,0
capeVerde,CV,CV-CV,Sao Salvador do Mundo,0,0,0
capeVerde,CV,CV-SV,Sao Vicente,0,0,0
capeVerde,CV,CV-TA,Tarrafal,0,0,0
capeVerde,CV,CV-TS,Tarrafal de Sao Nicolau,0,0,0
