Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
northMacedonia,MK,MK-72,Struga,0,0,0
northMacedonia,MK,MK-78,Centar Zupa,0,0,0
northMacedonia,MK,MK-21,Debar,0,0,0
northMacedonia,MK,MK-50,Mavrovo i Rostusa,0,0,0
northMacedonia,MK,MK-19,Gostivar,0,0,0
northMacedonia,MK,MK-12,Vevcani,0,0,0
northMacedonia,MK,MK-58,Ohrid,0,0,0
northMacedonia,MK,MK-22,Debarca,0,0,0
northMacedonia,MK,MK-66,Resen,0,0,0
northMacedonia,MK,MK-56,Novo Selo,0,0,0
northMacedonia,MK,MK-26,Dojran,0,0,0
northMacedonia,MK,MK-10,Valandovo,0,0,0
northMacedonia,MK,MK-73,Strumica,0,0,0
northMacedonia,MK,MK-05,Bogdanci,0,0,0
northMacedonia,MK,MK-18,Gevgelija,0,0,0
northMacedonia,MK,MK-36,Kavadarci,0,0,0
northMacedonia,MK,MK-55,Novaci,0,0,0
northMacedonia,MK,MK-62,Prilep,0,0,0
northMacedonia,MK,MK-04,Bitola,0,0,0
northMacedonia,MK,MK-48,Lipkovo,0,0,0
northMacedonia,MK,MK-82,Cucer Sandevo,0,0,0
northMacedonia,MK,MK-35,Jegunovce,0,0,0
northMacedonia,MK,MK-75,Tearce,0,0,0
northMacedonia,MK,MK-76,Tetovo,0,0,0
northMacedonia,MK,MK-06,Bogovinje,0,0,0
northMacedonia,MK,MK-16,Vrapciste,0,0,0
northMacedonia,MK,MK-44,Kriva Palanka,0,0,0
northMacedonia,MK,MK-65,Rankovce,0,0,0
northMacedonia,MK,MK-71,Staro Nagoricane,0,0,0
northMacedonia,MK,MK-47,Kumanovo,0,0,0
northMacedonia,MK,MK-23,Delcevo,0,0,0
northMacedonia,MK,MK-51,Makedonska Kamenica,0,0,0
northMacedonia,MK,MK-03,Berovo,0,0,0
northMacedonia,MK,MK-60,Pehcevo,0,0,0
northMacedonia,MK,MK-30,Zelino,0,0,0
northMacedonia,MK,MK-08,Brvenica,0,0,0
northMacedonia,MK,MK-52,Makedonski Brod,0,0,0
northMacedonia,MK,MK-70,Sopiste,0,0,0
northMacedonia,MK,MK-85,Skopje,0,0,0
northMacedonia,MK,MK-27,Dolneni,0,0,0
northMacedonia,MK,MK-45,Krivogastani,0,0,0
northMacedonia,MK,MK-53,Mogila,0,0,0
northMacedonia,MK,MK-80,Caska,0,0,0
northMacedonia,MK,MK-67,Rosoman,0,0,0
northMacedonia,MK,MK-54,Negotino,0,0,0
northMacedonia,MK,MK-46,Krusevo,0,0,0
northMacedonia,MK,MK-25,Demir Hisar,0,0,0
northMacedonia,MK,MK-74,Studenicani,0,0,0
northMacedonia,MK,MK-63,Probistip,0,0,0
northMacedonia,MK,MK-81,Cesinovo-Oblesevo,0,0,0
northMacedonia,MK,MK-02,Aracinovo,0,0,0
northMacedonia,MK,MK-32,Zelenikovo,0,0,0
northMacedonia,MK,MK-40,Kicevo,0,0,0
northMacedonia,MK,MK-61,Plasnica,0,0,0
northMacedonia,MK,MK-59,Petrovec,0,0,0
northMacedonia,MK,MK-49,Lozovo,0,0,0
northMacedonia,MK,MK-69,Sveti Nikole,0,0,0
northMacedonia,MK,MK-20,Gradsko,0,0,0
northMacedonia,MK,MK-43,Kratovo,0,0,0
northMacedonia,MK,MK-34,Ilinden,0,0,0
northMacedonia,MK,MK-37,Karbinci,0,0,0
northMacedonia,MK,MK-83,Stip,0,0,0
northMacedonia,MK,MK-42,Kocani,0,0,0
northMacedonia,MK,MK-33,Zrnovci,0,0,0
northMacedonia,MK,MK-13,Veles,0,0,0
northMacedonia,MK,MK-24,Demir Kapija,0,0,0
northMacedonia,MK,MK-14,Vinica,0,0,0
northMacedonia,MK,MK-07,Bosilovo,0,0,0
northMacedonia,MK,MK-64,Radovis,0,0,0
northMacedonia,MK,MK-11,Vasilevo,0,0,0
northMacedonia,MK,MK-41,Konce,0,0,0
