Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
bulgaria,BG,BG-01,Blagoevgrad,0,0,0
bulgaria,BG,BG-02,Burgas,0,0,0
bulgaria,BG,BG-03,Varna,0,0,0
bulgaria,BG,BG-04,Veliko Tarnovo,0,0,0
bulgaria,BG,BG-05,Vidin,0,0,0
bulgaria,BG,BG-06,Vratsa,0,0,0
bulgaria,BG,BG-07,Gabrovo,0,0,0
bulgaria,BG,BG-08,Dobrich,0,0,0
bulgaria,BG,BG-09,Kardzhali,0,0,0
bulgaria,BG,BG-10,Kyustendil,0,0,0
bulgaria,BG,BG-11,Lovech,0,0,0
bulgaria,BG,BG-12,Montana,0,0,0
bulgaria,BG,BG-13,Pazardzhik,0,0,0
bulgaria,BG,BG-14,Pernik,0,0,0
bulgaria,BG,BG-15,Pleven,0,0,0
bulgaria,BG,BG-16,Plovdiv,0,0,0
bulgaria,BG,BG-17,Razgrad,0,0,0
bulgaria,BG,BG-18,Ruse,0,0,0
bulgaria,BG,BG-19,Silistra,0,0,0
bulgaria,BG,BG-20,Sliven,0,0,0
bulgaria,BG,BG-21,Smolyan,0,0,0
bulgaria,BG,BG-22,Sofia-Grad,0,0,0
bulgaria,BG,BG-23,Sofia,0,0,0
bulgaria,BG,BG-24,Stara Zagora,0,0,0
bulgaria,BG,BG-25,Targovishte,0,0,0
bulgaria,BG,BG-26,Haskovo,0,0,0
bulgaria,BG,BG-27,Shumen,0,0,0
bulgaria,BG,BG-28,Yambol,0,0,0
