Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
tanzania,TZ,TZ-31,Songwe,0,0,0
tanzania,TZ,TZ-30,Simiyu,0,0,0
tanzania,TZ,TZ-29,Njombe,0,0,0
tanzania,TZ,TZ-28,Katavi,0,0,0
tanzania,TZ,TZ-27,Geita,0,0,0
tanzania,TZ,TZ-26,Manyara,0,0,0
tanzania,TZ,TZ-25,Tanga,0,0,0
tanzania,TZ,TZ-24,Tabora,0,0,0
tanzania,TZ,TZ-23,Singida,0,0,0
tanzania,TZ,TZ-22,Shinyanga,0,0,0
tanzania,TZ,TZ-21,Ruvuma,0,0,0
tanzania,TZ,TZ-20,Rukwa,0,0,0
tanzania,TZ,TZ-19,Pwani,0,0,0
tanzania,TZ,TZ-18,Mwanza,0,0,0
tanzania,TZ,TZ-17,Mtwara,0,0,0
tanzania,TZ,TZ-16,Morogoro,0,0,0
tanzania,TZ,TZ-15,Mjini Magharibi,0,0,0
tanzania,TZ,TZ-14,Mbeya,0,0,0
tanzania,TZ,TZ-13,Mara,0,0,0
tanzania,TZ,TZ-12,Lindi,0,0,0
tanzania,TZ,TZ-11,Kusini Unguja,0,0,0
tanzania,TZ,TZ-10,Kusini Pemba,0,0,0
tanzania,TZ,TZ-09,Kilimanjaro,0,0,0
tanzania,TZ,TZ-08,Kigoma,0,0,0
tanzania,TZ,TZ-07,Kaskazini Unguja,0,0,0
tanzania,TZ,TZ-06,Kaskazini Pemba,0,0,0
tanzania,TZ,TZ-05,Kagera,0,0,0
tanzania,TZ,TZ-04,Iringa,0,0,0
tanzania,TZ,TZ-03,Dodoma,0,0,0
tanzania,TZ,TZ-02,Dar es Salaam,0,0,0
tanzania,TZ,TZ-01,Arusha,0,0,0
