Country name,Country Code,State,State name,Confirmed,Recovered,Deaths
vietnam,VN,VN-01,Lai Chau,0,0,0
vietnam,VN,VN-02,Lao Cai,0,0,0
vietnam,VN,VN-03,Ha Giang,0,0,0
vietnam,VN,VN-04,Cao Bang,0,0,0
vietnam,VN,VN-05,Son La,0,0,0
vietnam,VN,VN-06,Yen Bai,0,0,0
vietnam,VN,VN-07,Tuyen Quang,0,0,0
vietnam,VN,VN-09,Lang Son,0,0,0
vietnam,VN,VN-13,Quang Ninh,0,0,0
vietnam,VN,VN-14,Hoa Binh,0,0,0
vietnam,VN,VN-15,Ha Tay,0,0,0
vietnam,VN,VN-18,Ninh Binh,0,0,0
vietnam,VN,VN-20,Thai Binh,0,0,0
vietnam,VN,VN-21,Thanh Hoa,0,0,0
vietnam,VN,VN-22,Nghe An,0,0,0
vietnam,VN,VN-23,Ha Tinh,0,0,0
vietnam,VN,VN-24,Quang Binh,0,0,0
vietnam,VN,VN-25,Quang Tri,0,0,0
vietnam,VN,VN-26,Thua Thien-Hue,0,0,0
vietnam,VN,VN-27,Quang Nam,0,0,0
vietnam,VN,VN-28,Kon Tum,0,0,0
vietnam,VN,VN-29,Quang Ngai,0,0,0
vietnam,VN,VN-30,Gia Lai,0,0,0
vietnam,VN,VN-31,Binh ?inh,0,0,0
vietnam,VN,VN-32,Phu Yen,0,0,0
vietnam,VN,VN-33,?ak Lak,0,0,0
vietnam,VN,VN-34,Khanh Hoa,0,0,0
vietnam,VN,VN-35,Lam ?ong,0,0,0
vietnam,VN,VN-36,Ninh Thuan,0,0,0
vietnam,VN,VN-37,Tay Ninh,0,0,0
vietnam,VN,VN-39,?ong Nai,0,0,0
vietnam,VN,VN-40,Binh Thuan,0,0,0
vietnam,VN,VN-41,Long An,0,0,0
vietnam,VN,VN-43,Ba Ria-Vung Tau,0,0,0
vietnam,VN,VN-44,An Giang,0,0,0
vietnam,VN,VN-45,?ong Thap,0,0,0
vietnam,VN,VN-46,Tien Giang,0,0,0
vietnam,VN,VN-47,Kien Giang,0,0,0
vietnam,VN,VN-49,Vinh Long,0,0,0
vietnam,VN,VN-50,Ben Tre,0,0,0
vietnam,VN,VN-51,Tra Vinh,0,0,0
vietnam,VN,VN-52,Soc Trang,0,0,0
vietnam,VN,VN-53,Bac Kan,0,0,0
vietnam,VN,VN-54,Bac Giang,0,0,0
vietnam,VN,VN-55,Bac Lieu,0,0,0
vietnam,VN,VN-56,Bac Ninh,0,0,0
vietnam,VN,VN-57,Binh Duong,0,0,0
vietnam,VN,VN-58,Binh Phuoc,0,0,0
vietnam,VN,VN-59,Ca Mau,0,0,0
vietnam,VN,VN-61,Hai Duong,0,0,0
vietnam,VN,VN-63,Ha Nam,0,0,0
vietnam,VN,VN-66,Hung Yen,0,0,0
vietnam,VN,VN-67,Nam ?inh,0,0,0
vietnam,VN,VN-68,Phu Tho,0,0,0
vietnam,VN,VN-69,Thai Nguyen,0,0,0
vietnam,VN,VN-70,Vinh Phuc,0,0,0
vietnam,VN,VN-71,?ien Bien,0,0,0
vietnam,VN,VN-72,?ak Nong,0,0,0
vietnam,VN,VN-73,Hau Giang,0,0,0
vietnam,VN,VN-CT,Can Tho,0,0,0
vietnam,VN,VN-DN,?a Nang,0,0,0
vietnam,VN,VN-HN,Ha Noi,0,0,0
vietnam,VN,VN-HP,Hai Phong,0,0,0
vietnam,VN,VN-SG,Ho Chi Minh,0,0,0
